timestep;mesh  1  face  centerpoint;mesh  1  color  code;mesh  1  normal;Mesh  1  face  centerpoint  to  Mesh  1  face  n+1  centerpoint  distance;Mesh  1  face  centerpoint  vector  to  Mesh  1  face  n+1  centerpoint  vector  angle
156;(551,  133,  25);(18,178,90);(0.95,  0.24,  0.2);2.61;0.02
156;(306.25,  101.25,  25);(32,180,71);(-0.93,  0.31,  -0.19);58.03;2.58
156;(306.5,  102,  25);(41,181,59);(0,  0,  0);0.79;0.11
156;(304.75,  102,  25);(26,179,79);(0,  -1,  0.02);1.75;0.1
156;(304,  103.25,  25);(23,179,83);(-0.78,  0.62,  0.06);1.46;0.25
156;(553.25,  170,  25);(19,135,197);(-0.96,  0.28,  0);18.92;1.61
156;(556.75,  189.25,  25);(22,127,192);(-0.42,  -0.59,  0.69);19.57;1.69
156;(558,  202.75,  25);(17,179,95);(-0.97,  0.24,  0);13.56;1.19
156;(560,  215.75,  25);(16,180,107);(-0.6,  -0.8,  0);13.15;1.1
156;(557.75,  215.5,  25);(14,149,205);(0.62,  -0.78,  0);2.26;0.06
156;(556.75,  213.25,  25);(19,135,197);(0.98,  0.2,  0);2.46;0.17
156;(551,  220.5,  25);(16,180,107);(-0.82,  -0.58,  0);9.25;0.85
156;(546,  228,  25);(39,72,161);(0.71,  0.71,  -0.07);9.01;0.85
156;(542.75,  237.5,  25);(11,160,211);(-0.93,  -0.38,  0);10.04;0.97
156;(538.5,  249,  25);(14,149,205);(-0.98,  0,  0.21);12.26;1.18
156;(532,  256,  25);(39,72,161);(-0.68,  -0.73,  -0.01);9.55;0.88
156;(263.5,  107.5,  25);(18,178,89);(-0.05,  1,  -0.01);54.55;4.64
156;(538,  108.75,  25);(48,182,49);(-0.99,  0,  0.12);1.25;0.03
156;(539.25,  107.75,  25);(49,182,49);(0.7,  0.7,  -0.08);1.6;0.13
156;(542.25,  105.5,  25);(17,178,95);(0.49,  0.87,  -0.07);3.75;0.29
156;(543,  104,  25);(18,178,92);(0.44,  -0.89,  -0.11);1.68;0.17
156;(457.25,  110.25,  25);(21,178,85);(0,  -1,  0);83.25;2.07
156;(373.25,  111.25,  25);(20,178,88);(-0.15,  -0.03,  -0.99);84.01;3.1
156;(466.5,  118.75,  25);(18,178,90);(-0.06,  0.96,  -0.26);93.55;2.42
156;(561.25,  125.75,  25);(18,178,90);(-0.51,  0.86,  0);95.01;1.72
156;(562.5,  127,  25);(19,134,196);(-1,  0,  0);1.77;0.09
156;(561.75,  128.75,  25);(21,178,85);(-0.86,  -0.51,  0);1.9;0.19
156;(559.5,  132.25,  25);(18,178,90);(-0.83,  -0.55,  0);4.16;0.39
156;(556,  135.25,  25);(19,178,89);(-0.35,  -0.94,  0);4.61;0.37
156;(554,  135,  25);(16,145,203);(1,  0,  0);2.02;0.02
156;(555.25,  133.25,  25);(19,134,196);(0.51,  0.86,  0);2.15;0.2
156;(553.5,  133.75,  25);(19,178,89);(-0.38,  -0.92,  0);1.82;0.09
156;(364.25,  103,  25);(26,179,79);(0.04,  -1,  0.04);58.51;1.99
156;(365,  91.5,  25);(22,178,85);(0,  0,  0);1.27;0.08
156;(365.5,  92,  25);(18,178,90);(-0.71,  0.71,  -0.06);0.71;0.06
156;(366,  93,  25);(18,178,90);(-1,  0,  0);1.12;0.13
156;(365.5,  93.75,  25);(18,178,94);(-0.45,  -0.89,  0.05);0.9;0.13
156;(305.75,  104.5,  25);(28,179,76);(0,  1,  -0.06);2.15;0.11
156;(306.25,  104.75,  25);(32,180,71);(-0.7,  -0.7,  0.1);0.56;0.02
156;(306.75,  105.75,  25);(23,179,83);(-0.71,  0.71,  -0.04);1.12;0.14
156;(308.5,  106.75,  25);(19,178,89);(-0.24,  0.97,  -0.02);2.02;0.07
156;(325.75,  105.75,  25);(27,179,78);(0.08,  1,  -0.01);17.28;1.12
156;(342.75,  105.5,  25);(28,179,76);(-0.51,  0.39,  0.77);17.0;0.89
156;(300.5,  107,  25);(19,178,89);(-0.01,  -1,  -0.02);42.28;2.53
156;(231.5,  107,  25);(22,178,85);(0.02,  -1,  0.04);69.0;5.31
156;(206,  106.25,  25);(34,180,68);(0.45,  0.89,  0);25.51;2.53
156;(208.5,  106,  25);(27,179,78);(0,  1,  0.06);2.51;0.34
156;(209,  105.25,  25);(22,178,85);(0.45,  -0.89,  -0.04);0.9;0.22
156;(536.75,  108.75,  25);(17,178,95);(0.19,  0.97,  0.11);2.61;0.13
156;(419.75,  135,  25);(8,186,174);(0.29,  0.72,  -0.63);9.95;0.96
156;(369.25,  121,  25);(5,189,197);(0.21,  -0.81,  0.55);52.4;0.54
156;(315.75,  107.75,  25);(80,186,8);(-0.1,  -0.72,  -0.69);55.12;0.92
156;(267.75,  103.5,  25);(86,189,9);(0.1,  -0.99,  0.05);48.19;2.39
156;(541,  103.25,  25);(43,181,56);(0.24,  -0.96,  -0.13);2.14;0.04
156;(540.5,  103,  25);(48,182,49);(0,  1,  0.1);0.56;0.02
156;(539,  101.5,  25);(18,178,92);(0.6,  -0.79,  0.13);2.12;0.12
156;(536.5,  99,  25);(18,178,90);(0.89,  -0.45,  0.08);3.54;0.21
156;(534.5,  99,  25);(34,180,68);(-0.55,  -0.83,  -0.06);2.0;0.04
156;(532.75,  100.75,  25);(43,181,56);(-0.95,  -0.32,  -0.01);2.47;0.22
